1261;20211604;3207210; SMP NEGERI 8 CIAMIS
1262;20211602;3207210; SMPN  6 CIAMIS
1263;20238436;3207210; SMP TERPADU AL HASAN CIAMIS
1264;20211656;3207210; SMPN 2 CIAMIS
1265;20251796;3207210; SMP NEGERI 7 CIAMIS
1266;121232070003;3207211;MTs Babakan
1267;121232070004;3207211;MTs Darul Ulum
1268;121232070005;3207211;MTs SABILISSALAM
1269;20257271;3207211; SMP PLUS MA ARIF NU CIAMIS
1270;69786482;3207211; SMP AL HUDA TURALAK
1271;20252450;3207211; SMPN 1 BAREGBEG
1272;20211664;3207211; SMPN 2 BAREGBEG
1273;121232070010;3207220;MTs TAHFIZHIL QURAN
1274;121232070011;3207220;MTs Ash-Shiddiqin
1275;121232070012;3207220;MTs NURUSSALAM KUJANG
1276;121232070013;3207220;MTs RIYADLUL ULUM
1277;121232070014;3207220;MTs AL-MUNAWWAR GEGEMPALAN
1278;121232070015;3207220;MTs MIFTAHUL HUDA
1279;121232070016;3207220;MTs Assalimiyah
1280;121232070114;3207220;MTs Ar-Rahman
1281;121232070115;3207220;MTs Al-Hikmah Cikoneng
1282;69863244;3207220; SMP ISLAM MA ARIF NU CIKONENG
1283;20211521;3207220; SMP MUHAMMADIYAH CIKONENG
1284;20211531;3207220; SMP IBNU SIENA CIKONENG CIAMIS
1285;20211637;3207220; SMP NEGERI 1 CIKONENG
1286;20211647;3207220; SMP NEGERI 2 CIKONENG
1287;121132070011;3207221;MTs Sindangkasih
1288;121232070017;3207221;MTs MTsS Miftahul Ulum
1289;121232070018;3207221;MTs PERSIS SINDANGKASIH
1290;121232070019;3207221;MTs NURUL ANWAR
1291;121232070020;3207221;MTs BUDIASIH
1292;69759287;3207221; SMPS PLUS DARUL IHSAN
1293;20211659;3207221; SMP NEGERI 1 SINDANGKASIH
1294;121232070028;3207230;MTs AL-ISHLAH
1295;121232070029;3207230;MTs Cijulang
1296;121232070030;3207230;MTs YPPS Sukahurip
1297;121232070031;3207230;MTs Darul Amira
1298;69786696;3207230; SMP ISLAM ASB MIFTAHUL ULUM
1299;20211623;3207230; SMP NEGERI 1 CIHAURBEUTI
1300;20211654;3207230; SMP NEGERI 2 CIHAURBEUTI
1301;20263194;3207230; SMP PLUS MA ARIF NU AL HIKMAH CIHAURBEUTI
1302;121232070006;3207240;MTs Al Barkah
1303;121232070007;3207240;MTs Al Huda Sadananya
1304;121232070008;3207240;MTs AT-TARBIYAH
1305;121232070009;3207240;MTs Annur
1306;20258105;3207240; SMPS PLUS BINA PANDU MANDIRI
1307;20211658;3207240; SMPN 1 SADANANYA
1308;121132070005;3207250;MTs Buniseuri
1309;121232070046;3207250;MTs Mujahidin
1310;121232070047;3207250;MTs CIDOYANG
1311;121232070048;3207250;MTs Cieurih
1312;121232070049;3207250;MTs PUI GEREBA
1313;121232070050;3207250;MTs Darul Fikri
1314;20211649;3207250; SMPN 2 CIPAKU
1315;20253052;3207250; SMP NEGERI SATU ATAP CIPAKU
1316;20252319;3207250; SMPN 3 CIPAKU
1317;20211640;3207250; SMP NEGERI 1 CIPAKU
1318;20263195;3207250; SMP PLUS MA ARIF NU CIPAKU
1319;121232070051;3207260;MTs Rijalul Hikam
1320;121232070052;3207260;MTs Sabilurrosyad
1321;121232070107;3207260;MTs Al-Irsyad Cikande
1322;121232070113;3207260;MTs Terpadu Riyadlul Hidayah Al-munawwarah
1323;20211642;3207260; SMPN 1 JATINAGARA
1324;20268269;3207260; SMPS PLUS MA ARIF AL-MUSHLIHUUN JATINAGARA
1325;20251818;3207260; SMP NEGERI SATU ATAP 1 JATINAGARA
1326;69727375;3207260; SMPN 2 JATINAGARA
1327;20263180;3207260; SMP IT MIFTAHUL HUDA II
1328;121232070040;3207270;MTs Al-Ikhlas Susuru
1329;121232070041;3207270;MTs Nagarapageuh
1330;121232070042;3207270;MTs Cinyasag
1331;121232070043;3207270;MTs MTs Panawangan
1332;121232070044;3207270;MTs Multazam
1333;121232070045;3207270;MTs Sa Al Qoryah Khazanah Kebajikan
